run_folder	num_cpus_from_name	op_lat_from_name	issue_lat_from_name	sim_seconds	sim_ticks	ipc_cpu0	cpi_cpu0	numCycles_cpu0	committedInsts_cpu0	fpAluAccesses_cpu0	floatSimdIssues_cpu0	floatSimdIssues_per_cycle_cpu0	ipc_cpu1	cpi_cpu1	numCycles_cpu1	committedInsts_cpu1	fpAluAccesses_cpu1	floatSimdIssues_cpu1	floatSimdIssues_per_cycle_cpu1	ipc_cpu2	cpi_cpu2	numCycles_cpu2	committedInsts_cpu2	fpAluAccesses_cpu2	floatSimdIssues_cpu2	floatSimdIssues_per_cycle_cpu2	ipc_cpu3	cpi_cpu3	numCycles_cpu3	committedInsts_cpu3	fpAluAccesses_cpu3	floatSimdIssues_cpu3	floatSimdIssues_per_cycle_cpu3	ipc_cpu4	cpi_cpu4	numCycles_cpu4	committedInsts_cpu4	fpAluAccesses_cpu4	floatSimdIssues_cpu4	floatSimdIssues_per_cycle_cpu4	ipc_cpu5	cpi_cpu5	numCycles_cpu5	committedInsts_cpu5	fpAluAccesses_cpu5	floatSimdIssues_cpu5	floatSimdIssues_per_cycle_cpu5	ipc_cpu6	cpi_cpu6	numCycles_cpu6	committedInsts_cpu6	fpAluAccesses_cpu6	floatSimdIssues_cpu6	floatSimdIssues_per_cycle_cpu6	ipc_cpu7	cpi_cpu7	numCycles_cpu7	committedInsts_cpu7	fpAluAccesses_cpu7	floatSimdIssues_cpu7	floatSimdIssues_per_cycle_cpu7
c1_op1_iss6	1	1	6	0.030244	30243866000	0.203893	4.904538	30243866	6166506	5540783	3933091	0.130046																																																	
c1_op2_iss5	1	2	5	0.027877	27877327000	0.221201	4.520765	27877327	6166506	5540783	3933091	0.141086																																																	
c1_op3_iss4	1	3	4	0.025218	25217611000	0.244532	4.089449	25217611	6166506	5540784	3933092	0.155966																																																	
c1_op4_iss3	1	4	3	0.021654	21654398000	0.284769	3.511615	21654398	6166506	5514944	3933603	0.181654																																																	
c1_op5_iss2	1	5	2	0.021355	21354640000	0.288767	3.463005	21354640	6166506	5514949	3933606	0.184204																																																	
c1_op6_iss1	1	6	1	0.022278	22278341000	0.276794	3.612798	22278341	6166506	5514590	3933142	0.176546																																																	
c2_op1_iss6	2	1	6	0.015325	15325405000	0.205662	4.862352	15325405	3151850	2771375	1967011	0.12835	0.205662	4.862358	15325405	3151846	2771310	1967010	0.12835																																										
c2_op2_iss5	2	2	5	0.014147	14146933000	0.222784	4.488657	14146915	3151703	2771375	1967011	0.139042	0.222794	4.488448	14146933	3151854	2771310	1967010	0.139041																																										
c2_op3_iss4	2	3	4	0.012813	12812890000	0.24598	4.065365	12812871	3151715	2771376	1967012	0.153518	0.245991	4.065191	12812890	3151854	2771312	1967012	0.153518																																										
c2_op4_iss3	2	4	3	0.01104	11039951000	0.285481	3.502864	11039951	3151693	2755311	1967267	0.178195	0.285495	3.502685	11039951	3151854	2755246	1967267	0.178195																																										
c2_op5_iss2	2	5	2	0.010908	10908378000	0.288938	3.460945	10908378	3151850	2760375	1967270	0.180345	0.288934	3.461004	10908378	3151796	2760604	1967270	0.180345																																										
c2_op6_iss1	2	6	1	0.011348	11348114000	0.277742	3.600461	11348114	3151850	2759821	1967062	0.173338	0.277742	3.600458	11348114	3151853	2760685	1967062	0.173338																																										
c4_op1_iss6	4	1	6	0.007896	7896226000	0.208459	4.797108	7889871	1644714	1386703	983985	0.124715	0.208619	4.793425	7887423	1645467	1386591	983947	0.124749	0.208387	4.798775	7896226	1645467	1386656	983948	0.12461	0.208594	4.794001	7888371	1645467	1386592	983948	0.124734																												
c4_op2_iss5	4	2	5	0.007312	7312495000	0.225166	4.441167	7304450	1644714	1386704	983986	0.13471	0.225021	4.444024	7312495	1645467	1386656	983948	0.134557	0.225151	4.441471	7308294	1645467	1386592	983948	0.134634	0.225135	4.441782	7308805	1645467	1386655	983947	0.134625																												
c4_op3_iss4	4	3	4	0.006669	6669079000	0.246935	4.049649	6663548	1645463	1386657	983949	0.147661	0.246731	4.053001	6669079	1645467	1386593	983949	0.147539	0.246838	4.05124	6666182	1645467	1386657	983949	0.147603	0.246732	4.052979	6669043	1645467	1386592	983948	0.14754																												
c4_op4_iss3	4	4	3	0.005773	5772982000	0.285104	3.507489	5771444	1645463	1379039	984076	0.170508	0.285109	3.507431	5771362	1645467	1378963	984076	0.17051	0.285029	3.508416	5772982	1645467	1378957	984076	0.170462	0.285031	3.508391	5772941	1645467	1378761	984076	0.170464																												
c4_op5_iss2	4	5	2	0.005675	5674781000	0.290083	3.447291	5672389	1645463	1378608	984078	0.173486	0.290036	3.447842	5673311	1645467	1379586	984078	0.173457	0.289961	3.448736	5674781	1645467	1378665	984078	0.173413	0.290073	3.447409	5672598	1645467	1379315	984078	0.173479																												
c4_op6_iss1	4	6	1	0.005904	5904456000	0.278686	3.588264	5904355	1645463	1382822	983997	0.166656	0.278682	3.588316	5904456	1645467	1382837	983997	0.166653	0.278694	3.588164	5904205	1645467	1383049	983997	0.16666	0.278686	3.588264	5904370	1645467	1382973	983997	0.166656																												
c8_op1_iss6	8	1	6	0.004269	4268863000	0.208114	4.805065	4268863	888409	694299	492447	0.115358	0.208671	4.792222	4268863	890790	694318	492450	0.115359	0.208503	4.796103	4268863	890069	694299	492447	0.115358	0.208638	4.792996	4268858	890645	694319	492451	0.115359	0.207998	4.807738	4268863	887915	694299	492447	0.115358	0.208642	4.792906	4268850	890660	694319	492451	0.115359	0.208542	4.795198	4268863	890237	694299	492447	0.115358	0.208595	4.793981	4268863	890463	694299	492447	0.115358
c8_op2_iss5	8	2	5	0.003959	3959453000	0.223943	4.465416	3959453	886693	694299	492447	0.124372	0.224978	4.444878	3959453	890790	694255	492451	0.124373	0.224334	4.457644	3959453	888239	694299	492447	0.124372	0.224845	4.447504	3959453	890264	694298	492446	0.124372	0.223978	4.464716	3959453	886832	694299	492447	0.124372	0.223826	4.467764	3959453	886227	694294	492445	0.124372	0.223844	4.467406	3959453	886298	694299	492447	0.124372	0.223797	4.468337	3959443	886111	694293	492444	0.124372
c8_op3_iss4	8	3	4	0.00367	3669731000	0.242686	4.120543	3669731	890594	694319	492451	0.134193	0.242584	4.122284	3669731	890218	694299	492447	0.134192	0.242415	4.125152	3669731	889599	694300	492448	0.134192	0.242657	4.121046	3669676	890472	694299	492447	0.134194	0.242417	4.125124	3669731	889605	694299	492447	0.134192	0.24274	4.119637	3669731	890790	694319	492451	0.134193	0.242704	4.120238	3669661	890643	694319	492451	0.134195	0.242496	4.123775	3669731	889896	694299	492447	0.134192
c8_op4_iss3	8	4	3	0.003185	3184668000	0.278588	3.589531	3184668	887210	690629	492511	0.154651	0.27895	3.584868	3184668	888364	690965	492511	0.154651	0.278668	3.588504	3184668	887464	690693	492511	0.154651	0.278401	3.59194	3184668	886615	691712	492511	0.154651	0.279634	3.576105	3184629	890530	690662	492513	0.154653	0.279712	3.575105	3184668	890790	690775	492515	0.154652	0.278822	3.586512	3184668	887957	691720	492511	0.154651	0.278501	3.590648	3184668	886934	690608	492511	0.154651
c8_op5_iss2	8	5	2	0.003119	3118776000	0.285208	3.506209	3118776	889501	690991	492514	0.157919	0.285101	3.507526	3118776	889167	692067	492514	0.157919	0.285005	3.508713	3118776	888866	692246	492514	0.157919	0.28523	3.505937	3118776	889570	691474	492514	0.157919	0.285308	3.504983	3118776	889812	690993	492514	0.157919	0.285622	3.501135	3118776	890790	690989	492518	0.15792	0.28516	3.506808	3118776	889349	692129	492514	0.157919	0.285048	3.508181	3118776	889001	691620	492514	0.157919
c8_op6_iss1	8	6	1	0.003231	3230970000	0.275604	3.62839	3230965	890468	691529	492498	0.152431	0.2752	3.633717	3230970	889164	690592	492498	0.15243	0.274847	3.638394	3230970	888021	690338	492498	0.15243	0.274745	3.639742	3230970	887692	690929	492498	0.15243	0.275704	3.627084	3230970	890790	691118	492502	0.152432	0.274786	3.639201	3230970	887824	690663	492498	0.15243	0.275615	3.628252	3230955	890499	691549	492498	0.152431	0.27569	3.627268	3230909	890728	690740	492502	0.152435
